claim_id	kind	claim_text	value	raw_ref	transform_or_source	reproduced
c1	data	Nuclear deaths per TWh of electricity (OWID, 2021)	0.03	data/energy/death_rates_per_twh.csv	transforms/c1.py	?
c2	data	Coal deaths per TWh of electricity (OWID, 2021)	24.62	data/energy/death_rates_per_twh.csv	transforms/c2.py	?
c3	data	Coal is this many times deadlier than nuclear per TWh	821	data/energy/death_rates_per_twh.csv	transforms/c3.py	?
c4	data	Wind deaths per TWh of electricity (OWID, 2021)	0.035	data/energy/death_rates_per_twh.csv	transforms/c4.py	?
c5	data	Solar deaths per TWh of electricity (OWID, 2021)	0.019	data/energy/death_rates_per_twh.csv	transforms/c5.py	?
n1	source	IPCC AR5 median lifecycle emissions for nuclear (~12 gCO2eq/kWh)	Whilst estimates vary, the United Nations (UN) Intergovernmental Panel on Climate Change (IPCC) has provided a median value among peer-reviewed studies of 12g CO2 equivalent/kWh for nuclear, similar to wind, and lower than all types of solar.	https://world-nuclear.org/information-library/energy-and-the-environment/carbon-dioxide-emissions-from-electricity	sources/n1.txt	?
n2	source	Kharecha & Hansen 2013: nuclear prevented ~1.84M deaths + 64 GtCO2	Using historical production data, we calculate that global nuclear power has prevented an average of 1.84 million air pollution-related deaths and 64 gigatonnes of CO2-equivalent (GtCO2-eq) greenhouse gas (GHG) emissions that would have resulted from fossil fuel burning.	https://www.giss.nasa.gov/pubs/abs/kh05000e.html	sources/n2.txt	?
n3	source	Jacobson et al. 2015: a 100% wind-water-solar system needs no nuclear	No natural gas, biofuels, nuclear power, or stationary batteries are needed.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4679003/	sources/n3.txt	?
n4	source	Clack et al. 2017: the 100%-WWS feasibility claim is disputed	In particular, we point out that this work used invalid modeling tools, contained modeling errors, and made implausible and inadequately supported assumptions.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5495221/	sources/n4.txt	?
n5	source	Fukushima: ~2,313 evacuation/disaster-related deaths vs no radiation deaths	Official figures show that there have been 2313 disaster-related deaths among evacuees from Fukushima prefecture.	https://world-nuclear.org/information-library/safety-and-security/safety-of-plants/fukushima-daiichi-accident	sources/n5.txt	?
n6	source	Chernobyl mainstream projection: up to ~4,000 eventual deaths (Chernobyl Forum)	A total of up to 4000 people could eventually die of radiation exposure from the Chernobyl nuclear power plant (NPP) accident nearly 20 years ago, an international team of more than 100 scientists has concluded.	https://www.who.int/news/item/05-09-2005-chernobyl-the-true-scale-of-the-accident	sources/n6.txt	?
n7	source	Chernobyl higher estimate: ~27,000 excess cancer deaths (UCS/Gronlund)	53,000 and 27,000 are reasonable estimates of the number of excess cancers and cancer deaths that will be attributable to the accident, excluding thyroid cancers.	https://blog.ucs.org/lisbeth-gronlund/how-many-cancers-did-chernobyl-really-cause-updated/	sources/n7.txt	?
